sanctioned_name,country,program
Haley Ross PhD,Iran,HRIT
Ashley Allen,Macao,NS-ISA
Jerry Thomas,Armenia,SDN
Tony Lin,Aruba,NS-ISA
Victor Barrera,Argentina,SDN
Taylor Griffith,Burundi,FSE
Christopher Ferrell,Rwanda,NS-ISA
Shawn Jimenez,Grenada,SDN
James Bryant,Spain,SDN
Kevin Williams,Lebanon,FSE
Kyle Cameron,Malaysia,NS-ISA
Donna Smith,Korea,NS-ISA
Cesar Baker,Canada,FSE
Jamie Williams,Netherlands,NS-ISA
Justin Cox,Uganda,FSE
James Cole,Malawi,NS-ISA
Samantha Hanson,Burundi,HRIT
Betty Davis,Greece,NS-ISA
William Grant,Venezuela,SDN
Charles Morrison,New Caledonia,SDN
